part_no,product_permalink
BE.10000.5,https://keypak.tbkdev.com/product/000-kraft-bubble-mailer-4-x-8/
BE.10010.5,https://keypak.tbkdev.com/product/00-kraft-bubble-mailer-5-x-10/
BE.10100.5,https://keypak.tbkdev.com/product/0-kraft-bubble-mailer-6-x-10/
BE.11000.5,https://keypak.tbkdev.com/product/1-kraft-bubble-mailer-7-25-x-12/
BE.12000.5,https://keypak.tbkdev.com/product/2-kraft-bubble-mailer-8-5-x-12/
BE.13000.5,https://keypak.tbkdev.com/product/3-kraft-bubble-mailer-8-5-x-14-5/
BE.14000.5,https://keypak.tbkdev.com/product/4-kraft-bubble-mailer-9-5-x-14-5/
BE.15000.5,https://keypak.tbkdev.com/product/5-kraft-bubble-mailer-10-5-x-16/
BE.16000.5,https://keypak.tbkdev.com/product/6-kraft-bubble-mailer-12-5-x-19/
BE.17000.5,https://keypak.tbkdev.com/product/7-kraft-bubble-mailer-14-5-x-20/
BE.20000.5,https://keypak.tbkdev.com/product/000-economy-kraft-bubble-mailer-4-x-8/
BE.20010.5,https://keypak.tbkdev.com/product/00-economy-kraft-bubble-mailer-5-x-10/
BE.20100.5,https://keypak.tbkdev.com/product/0-economy-kraft-bubble-mailer-6-x-10/
BE.21000.5,https://keypak.tbkdev.com/product/1-economy-kraft-bubble-mailer-7-5-x-12/
BE.22000.5,https://keypak.tbkdev.com/product/2-economy-kraft-bubble-mailer-8-5-x-14-5/
BE.23000.5,https://keypak.tbkdev.com/product/3-economy-kraft-bubble-mailer-8-5-x-14-5/
BE.24000.5,https://keypak.tbkdev.com/product/4-economy-kraft-bubble-mailer-9-5-x-14-5/
BE.25000.5,https://keypak.tbkdev.com/product/economy-kraft-bubble-mailer-10-5-x-16/
BE.26000.5,https://keypak.tbkdev.com/product/6-economy-kraft-bubble-mailer-12-5-x-19/
BE.27000.5,https://keypak.tbkdev.com/product/7-economy-kraft-bubble-mailer-14-5-x-20/
BE.30007.5,https://keypak.tbkdev.com/product/curby-mailer-9-375-x-6-75/
BE.30008.5,https://keypak.tbkdev.com/product/curby-mailer-11-375-x-7-25/
BE.30009.5,https://keypak.tbkdev.com/product/curby-mailer-9-5-x-13-875/
BE.30010.5,https://keypak.tbkdev.com/product/curby-mailer-9-875-x-9-5/
BE.30020.5,https://keypak.tbkdev.com/product/curby-mailer-9-875-x-15-5/
BE.30030.5,https://keypak.tbkdev.com/product/curby-mailer-11-875-x-18-5/
BE.31608.0,https://keypak.tbkdev.com/product/durabubble-pouches-6-x-8/
BE.31615.0,https://keypak.tbkdev.com/product/durabubble-pouches-15-x-15/
BE.31618.0,https://keypak.tbkdev.com/product/durabubble-pouches-15-x-18/
BE.40400.4,https://keypak.tbkdev.com/product/bubble-pouch-4-x-5-5-with-1-ez-seal-lip/
BE.40407.5,https://keypak.tbkdev.com/product/bubble-pouch-4-x-7-5-with-1-ez-seal-lip/
BE.40600.5,https://keypak.tbkdev.com/product/bubble-pouch-6-x-8-5-with-1-ez-seal-lip/
BE.40800.5,https://keypak.tbkdev.com/product/bubble-pouch-8-x-11-5-with-1-ez-seal-lip/
BE.41005.5,https://keypak.tbkdev.com/product/bubble-pouch-10-x-15-5-with-1-ez-seal-lip/
BE.41200.5,https://keypak.tbkdev.com/product/bubble-pouch-12-x-15-5-with-1-ez-seal-lip/
BE.41800.5,https://keypak.tbkdev.com/product/bubble-pouch-18-x-23-5-with-1-ez-seal-lip/
BE.42665.0,https://keypak.tbkdev.com/product/anti-static-bubble-pouch-6-x-6-5/
BE.42666.0,https://keypak.tbkdev.com/product/anti-static-bubble-pouch-8-x-11-5/
BE.51013.0,https://keypak.tbkdev.com/product/kraft-paper-mailer-with-2-flap-10-x-13/
BE.51215.0,https://keypak.tbkdev.com/product/kraft-paper-mailer-with-2-flap-12-x-15-5/
BE.51419.0,https://keypak.tbkdev.com/product/kraft-paper-mailer-with-2-flap-14-5-x-19/
BE.51924.0,https://keypak.tbkdev.com/product/kraft-paper-mailer-with-2-flap-19-x-24/
